city,sumsol_13,winsol_13,sprequ_13,fallequ_13,sumsol_14,winsol_14,sprequ_14,fallequ_14,sumsol_15,winsol_15,sprequ_15,fallequ_15,sumsol_16,winsol_16,sprequ_16,fallequ_16,sumsol_17,winsol_17,sprequ_17,fallequ_17,sumsol_18,winsol_18,sprequ_18,fallequ_18
Bekoji,Ethiopia,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23
Eldoret,Kenya,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23,2013-06-21,2013-12-21,2013-03-20,2013-09-23
